"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2017","98.83","98.93","99.08","98.78","19.83K","-0.10"
"May 01, 2017","98.93","98.93","99.07","98.73","17.67K","0.03"
"Apr 28, 2017","98.90","99.07","99.12","98.58","26.32K","-0.05"
"Apr 27, 2017","98.95","98.86","99.21","98.69","40.18K","0.03"
"Apr 26, 2017","98.92","98.72","99.20","98.61","32.96K","0.27"
"Apr 25, 2017","98.65","98.97","99.10","98.56","26.51K","-0.32"
"Apr 24, 2017","98.97","99.18","99.24","98.70","30.22K","-0.91"
"Apr 21, 2017","99.88","99.75","99.94","99.56","23.08K","0.19"
"Apr 20, 2017","99.69","99.70","99.76","99.29","22.30K","0.05"
"Apr 19, 2017","99.64","99.45","99.78","99.42","17.79K","0.24"
"Apr 18, 2017","99.40","100.24","100.31","99.36","26.52K","-0.79"
"Apr 17, 2017","100.19","100.41","100.47","99.91","14.99K","-0.27"
"Apr 13, 2017","100.46","100.03","100.50","99.93","22.78K","-0.25"
"Apr 12, 2017","100.71","100.59","100.76","100.01","22.39K","0.09"
"Apr 11, 2017","100.62","100.90","101.00","100.51","24.42K","-0.33"
"Apr 10, 2017","100.95","101.12","101.27","100.87","21.83K","-0.17"
"Apr 07, 2017","101.12","100.64","101.19","100.40","37.15K","0.55"
"Apr 06, 2017","100.57","100.37","100.67","100.28","18.13K","0.13"
"Apr 05, 2017","100.44","100.42","100.99","100.31","26.55K","0.01"
"Apr 04, 2017","100.43","100.34","100.61","100.30","15.96K","0.02"
"Apr 03, 2017","100.41","100.41","100.56","100.23","19.24K","0.19"
"Mar 31, 2017","100.22","100.34","100.50","100.11","25.57K","-0.06"
"Mar 30, 2017","100.28","99.85","100.47","99.80","28.86K","0.44"
"Mar 29, 2017","99.84","99.56","99.97","99.50","25.95K","0.29"
"Mar 28, 2017","99.55","99.06","99.62","98.92","26.36K","0.59"
"Mar 27, 2017","98.97","99.33","99.33","98.67","31.75K","-0.47"
"Mar 24, 2017","99.44","99.57","99.81","99.36","22.92K","-0.12"
"Mar 23, 2017","99.56","99.58","99.67","99.44","23.58K","0.09"
"Mar 22, 2017","99.47","99.50","99.72","99.34","30.15K","-0.14"
"Mar 21, 2017","99.61","100.17","100.18","99.46","33.89K","-0.62"
"Mar 20, 2017","100.23","100.11","100.27","99.83","19.26K","0.12"
"Mar 17, 2017","100.11","100.06","100.28","99.97","23.35K","-0.08"
"Mar 16, 2017","100.19","100.34","100.58","100.05","36.55K","-0.39"
"Mar 15, 2017","100.58","101.57","101.59","100.32","47.71K","-0.97"
"Mar 14, 2017","101.57","101.28","101.66","101.22","22.53K","0.26"
"Mar 13, 2017","101.31","101.28","101.40","101.03","1.62K","0.06"
"Mar 10, 2017","101.25","101.94","101.98","101.18","18.21K","-0.59"
"Mar 09, 2017","101.85","102.15","102.25","101.70","31.01K","-0.23"
"Mar 08, 2017","102.08","101.76","102.19","101.70","51.02K","0.27"
"Mar 07, 2017","101.81","101.74","101.91","101.52","20.65K","0.17"
"Mar 06, 2017","101.64","101.44","101.74","101.22","38.66K","0.09"
"Mar 03, 2017","101.55","102.08","102.17","101.33","61.01K","-0.64"
"Mar 02, 2017","102.20","101.81","102.27","101.79","30.51K","0.41"
"Mar 01, 2017","101.78","101.47","101.98","101.22","54.89K","0.64"
"Feb 28, 2017","101.13","101.20","101.38","100.78","31.15K","0.00"
"Feb 27, 2017","101.13","101.16","101.28","100.68","24.66K","0.04"
"Feb 24, 2017","101.09","101.04","101.15","100.64","35.99K","0.04"
"Feb 23, 2017","101.05","101.35","101.44","100.86","32.82K","-0.14"
"Feb 22, 2017","101.19","101.36","101.72","101.16","38.97K","-0.17"
"Feb 21, 2017","101.36","101.08","101.61","101.08","28.83K","0.41"
"Feb 20, 2017","100.95","100.86","100.99","100.74","9.04K","0.00"
"Feb 17, 2017","100.95","100.50","100.96","100.44","27.27K","0.52"
"Feb 16, 2017","100.43","100.94","101.05","100.40","41.90K","-0.72"
"Feb 15, 2017","101.16","101.31","101.75","100.97","42.91K","-0.07"
"Feb 14, 2017","101.23","100.95","101.39","100.70","38.11K","0.28"
"Feb 13, 2017","100.95","100.79","101.11","100.57","23.85K","0.16"
"Feb 10, 2017","100.79","100.69","101.02","100.56","34.60K","0.14"
"Feb 09, 2017","100.65","100.24","100.67","100.08","33.57K","0.39"
"Feb 08, 2017","100.26","100.44","100.63","100.03","31.54K","0.01"
"Feb 07, 2017","100.25","99.96","100.69","99.91","38.83K","0.39"
"Feb 06, 2017","99.86","99.70","100.22","99.61","27.45K","0.02"
"Feb 03, 2017","99.84","99.83","100.37","99.52","49.52K","0.05"
"Feb 02, 2017","99.79","99.56","99.84","99.19","40.68K","0.18"
"Feb 01, 2017","99.61","99.58","100.06","99.48","42.20K","0.13"
"Jan 31, 2017","99.48","100.39","100.50","99.40","57.72K","-0.93"
"Jan 30, 2017","100.41","100.43","101.02","100.14","38.52K","-0.12"
"Jan 27, 2017","100.53","100.52","100.81","100.31","30.57K","0.15"
"Jan 26, 2017","100.38","99.80","100.73","99.77","35.13K","0.36"
"Jan 25, 2017","100.02","100.24","100.39","99.81","28.27K","-0.32"
"Jan 24, 2017","100.34","99.98","100.39","99.89","29.39K","0.21"
"Jan 23, 2017","100.13","100.75","100.75","99.92","40.27K","-0.56"
"Jan 20, 2017","100.69","101.19","101.48","100.67","40.55K","-0.44"
"Jan 19, 2017","101.14","101.36","101.71","100.95","53.38K","0.22"
"Jan 18, 2017","100.92","100.33","101.33","100.31","39.87K","0.60"
"Jan 17, 2017","100.32","101.56","101.61","100.23","61.48K","-0.86"
"Jan 16, 2017","101.19","101.48","101.72","101.31","15.95K","0.00"
"Jan 13, 2017","101.19","101.52","101.68","100.83","38.03K","-0.19"
"Jan 12, 2017","101.38","101.72","101.77","100.70","54.03K","-0.36"
"Jan 11, 2017","101.75","102.02","102.96","101.24","74.59K","-0.25"
"Jan 10, 2017","102.00","101.85","102.09","101.48","33.33K","0.09"
"Jan 09, 2017","101.91","102.25","102.49","101.84","31.02K","-0.29"
"Jan 06, 2017","102.21","101.54","102.30","101.39","38.07K","0.67"
"Jan 05, 2017","101.53","102.06","102.50","101.30","60.27K","-1.15"
"Jan 04, 2017","102.71","103.35","103.42","102.39","36.18K","-0.47"
"Jan 03, 2017","103.20","102.81","103.81","102.62","51.70K","0.89"
"Dec 30, 2016","102.29","102.24","102.63","101.95","38.08K","-0.41"
"Dec 29, 2016","102.71","103.19","103.21","102.65","31.94K","-0.51"
"Dec 28, 2016","103.24","102.98","103.58","102.86","19.85K","0.22"
"Dec 27, 2016","103.01","103.06","103.14","102.97","8.16K","0.01"
"Dec 23, 2016","103.00","103.09","103.20","102.86","11.98K","-0.10"
"Dec 22, 2016","103.10","102.97","103.15","102.59","22.64K","0.07"
"Dec 21, 2016","103.03","103.28","103.38","102.75","21.10K","-0.25"
"Dec 20, 2016","103.29","103.09","103.62","102.97","29.63K","0.38"
